message,intent,language
Hi,GREETING,english
Hello,GREETING,english
Hey,GREETING,english
Good morning,GREETING,english
Good evening,GREETING,english
Assalamualaikum,GREETING,english
Salam,GREETING,english
AOA,GREETING,english
Aoa,GREETING,english
Hi there,GREETING,english
Hello?,GREETING,english
Heyy,GREETING,english
Good afternoon,GREETING,english
"Hi, is anyone there?",GREETING,english
"Hello, are you available?",GREETING,english
Hii,GREETING,english
Salaam,GREETING,english
Hi I wanted to ask something,GREETING,english
Hello team,GREETING,english
"Hey there, quick question",GREETING,english
Good morning! Hope you're well,GREETING,english
"Hi, I came across your page",GREETING,english
"Hello, I found your number on Instagram",GREETING,english
"Salam, mujhe kuch poochna tha",GREETING,roman_urdu
"Hi, someone recommended you to me",GREETING,english
"Hey, got your number from a friend",GREETING,english
I want to book an appointment,BOOKING_REQUEST,english
Can I schedule a session?,BOOKING_REQUEST,english
I'd like to make a reservation for tomorrow,BOOKING_REQUEST,english
Book karna hai,BOOKING_REQUEST,roman_urdu
Appointment leni hai,BOOKING_REQUEST,roman_urdu
Can you book me in for Friday?,BOOKING_REQUEST,english
I want to reserve a table for 4,BOOKING_REQUEST,english
Mujhe appointment chahiye,BOOKING_REQUEST,roman_urdu
How do I book with you?,BOOKING_REQUEST,english
Is there a slot available this week?,BOOKING_REQUEST,english
Can I get an appointment for Saturday morning?,BOOKING_REQUEST,english
I need to schedule a consultation,BOOKING_REQUEST,english
Appointment kab mil sakti hai?,BOOKING_REQUEST,roman_urdu
Please book me for next Monday,BOOKING_REQUEST,english
Can you fit me in today?,BOOKING_REQUEST,english
"I want to come in, how do I book?",BOOKING_REQUEST,english
Reserve kar do please,BOOKING_REQUEST,english
Can we set up a meeting?,BOOKING_REQUEST,english
I'd like to come in this week,BOOKING_REQUEST,english
Slot available hai koi?,BOOKING_REQUEST,roman_urdu
Do you have any openings tomorrow?,BOOKING_REQUEST,english
I need an urgent appointment,BOOKING_REQUEST,english
Can I book for 2 people?,BOOKING_REQUEST,english
Booking karni hai aaj ke liye,BOOKING_REQUEST,roman_urdu
When's your next available slot?,BOOKING_REQUEST,english
Can I get a same-day appointment?,BOOKING_REQUEST,english
"I want to visit, need a booking",BOOKING_REQUEST,english
How much does it cost?,PRICE_INQUIRY,english
What's your price?,PRICE_INQUIRY,english
Kitna charge karte ho?,PRICE_INQUIRY,english
Price list send kar do,PRICE_INQUIRY,english
Can you share your rates?,PRICE_INQUIRY,english
What are your fees?,PRICE_INQUIRY,english
How much for a session?,PRICE_INQUIRY,english
Rate kya hai?,PRICE_INQUIRY,roman_urdu
Is it expensive?,PRICE_INQUIRY,english
What's the starting price?,PRICE_INQUIRY,english
Charges batao,PRICE_INQUIRY,english
Do you have any packages?,PRICE_INQUIRY,english
What are your packages and prices?,PRICE_INQUIRY,english
How much for the basic service?,PRICE_INQUIRY,english
Kitna hoga total?,PRICE_INQUIRY,roman_urdu
Can you give me a quote?,PRICE_INQUIRY,english
What's the cost for 2 people?,PRICE_INQUIRY,english
Do you charge per hour or per session?,PRICE_INQUIRY,english
Pricing kya hai?,PRICE_INQUIRY,roman_urdu
What's included in the price?,PRICE_INQUIRY,english
Any discounts available?,PRICE_INQUIRY,english
